port,,Permanent Portfolio,Permanent Portfolio,Permanent Portfolio,Permanent Portfolio,Three Fund Portfolio,Three Fund Portfolio,Three Fund Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,All Seasons Portfolio,All Seasons Portfolio,All Seasons Portfolio,All Seasons Portfolio,All Seasons Portfolio,Golden Butterfly,Golden Butterfly,Golden Butterfly,Golden Butterfly,Golden Butterfly,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Swensen Portfolio,Swensen Portfolio,Swensen Portfolio,Swensen Portfolio,Swensen Portfolio,Swensen Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,60/40 Portfolio,60/40 Portfolio,Ivy Portfolio,Ivy Portfolio,Ivy Portfolio,Ivy Portfolio,Ivy Portfolio
etfs,,VTI,TLT,BIL,GLD,VTI,VEA,AGG,VTI,IJS,VEA,VWO,IEI,BIL,IYR,GLD,VTI,TLT,IEI,DBC,GLD,VTI,IJS,TLT,SHY,GLD,SPY,SPYV,MDY,IJJ,VEA,IEI,IYR,VTI,VEA,VWO,IEI,TIP,IYR,SPY,MDY,IJR,VEA,VWO,IEI,BIL,TIP,DBC,IYR,BWX,VTI,AGG,VTI,VEA,IEI,DBC,IYR
date,risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-31,cons,0.005846,0.001543,0.992611,0.0,0.040201,0.0,0.959799,0.006899,0.0,0.0,0.0,0.003099,0.990003,0.0,0.0,0.100115,0.0,0.882004,0.01788,0.0,0.036054,0.0,0.0,0.963946,0.0,0.065703,0.0,0.038049,0.003154,0.0,0.893094,0.0,0.11038,0.0,0.0,0.88962,0.0,0.0,0.008437,0.0,0.0,0.0,0.0,0.00875,0.982813,0.0,0.0,0.0,0.0,0.055276,0.944724,0.094274,0.0,0.884076,0.02165,0.0
2016-01-31,mod_cons,0.123343,0.182813,0.693844,0.0,0.281407,0.0,0.718593,0.195198,0.0,0.0,0.0,0.798003,0.0,0.006799,0.0,0.212775,0.176408,0.610817,0.0,0.0,0.150302,0.0,0.182537,0.667161,0.0,0.0,0.32813,0.0,0.0,0.0,0.598782,0.073088,0.24249,0.0,0.0,0.599492,0.0,0.158018,0.045638,0.142001,0.0,0.0,0.0,0.812361,0.0,0.0,0.0,0.0,0.0,0.291457,0.708543,0.237403,0.0,0.620487,0.0,0.14211
2016-01-31,moder,0.238479,0.360465,0.401056,0.0,0.522613,0.0,0.477387,0.271448,0.0,0.0,0.0,0.477474,0.0,0.251079,0.0,0.297232,0.368294,0.334474,0.0,0.0,0.258896,0.0,0.368226,0.372878,0.0,0.0,0.506549,0.0,0.0,0.0,0.31341,0.180041,0.303425,0.0,0.0,0.342981,0.0,0.353594,0.0,0.297849,0.0,0.0,0.0,0.496703,0.0,0.0,0.0,0.205449,0.0,0.527638,0.472362,0.300106,0.0,0.356949,0.0,0.342946
2016-01-31,mod_agg,0.355985,0.54173,0.102285,0.0,0.763819,0.0,0.236181,0.349222,0.0,0.0,0.0,0.150416,0.0,0.500362,0.0,0.381755,0.560145,0.0581,0.0,0.0,0.367232,0.0,0.554059,0.078709,0.0,0.0,0.688922,0.0,0.0,0.0,0.02181,0.289267,0.364438,0.0,0.0,0.086438,0.0,0.549124,0.0,0.410768,0.0,0.0,0.0,0.174009,0.0,0.0,0.0,0.415223,0.0,0.763819,0.236181,0.362777,0.0,0.093422,0.0,0.543801
2016-01-31,agg,0.23612,0.76388,0.0,0.0,0.904523,0.0,0.095477,0.281289,0.0,0.0,0.0,0.0,0.0,0.718711,0.0,0.199282,0.800718,0.0,0.0,0.0,0.215773,0.0,0.784227,0.0,0.0,0.0,0.297664,0.0,0.0,0.0,0.0,0.702336,0.232251,0.0,0.0,0.0,0.0,0.767749,0.0,0.393712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606288,0.0,0.909548,0.090452,0.223664,0.0,0.0,0.0,0.776336
2016-02-29,cons,0.004716,0.001573,0.993711,0.0,0.045226,0.0,0.954774,0.0,0.0,0.002347,0.00037,0.0,0.997283,0.0,0.0,0.099533,0.0,0.88047,0.019998,0.0,0.034349,0.0,0.0,0.965651,0.0,0.072012,0.0,0.038565,0.0,0.0,0.889423,0.0,0.109211,0.0,0.0,0.890789,0.0,0.0,0.004582,0.0,0.0,0.0,0.000559,0.0,0.994859,0.0,0.0,0.0,0.0,0.055276,0.944724,0.093746,0.0,0.882517,0.023738,0.0
2016-02-29,mod_cons,0.172195,0.084856,0.669181,0.073767,0.286432,0.0,0.713568,0.0,0.178492,0.0,0.0,0.284679,0.437789,0.0,0.09904,0.251182,0.023316,0.654564,0.0,0.070938,0.019934,0.18677,0.083732,0.615136,0.094427,0.321608,0.0,0.0,0.0,0.0,0.678392,0.0,0.331908,0.0,0.0,0.668092,0.0,0.0,0.0,0.0,0.240588,0.0,0.0,0.590102,0.16931,0.0,0.0,0.0,0.0,0.291457,0.708543,0.311761,0.0,0.688239,0.0,0.0
2016-02-29,moder,0.33306,0.163805,0.352929,0.150205,0.522613,0.0,0.477387,0.0,0.346954,0.0,0.0,0.444757,0.0,0.0,0.208289,0.381022,0.138763,0.327353,0.0,0.152862,0.003783,0.365432,0.186524,0.251393,0.192869,0.547739,0.0,0.0,0.0,0.0,0.452261,0.0,0.554605,0.0,0.0,0.445395,0.0,0.0,0.0,0.0,0.493449,0.0,0.0,0.506551,0.0,0.0,0.0,0.0,0.0,0.527638,0.472362,0.543841,0.0,0.456159,0.0,0.0
2016-02-29,mod_agg,0.497132,0.244248,0.030308,0.228312,0.763819,0.0,0.236181,0.0,0.506286,0.0,0.0,0.138016,0.0,0.0,0.355698,0.515472,0.24414,0.0,0.0,0.240388,0.0,0.545769,0.153269,0.0,0.300961,0.773869,0.0,0.0,0.0,0.0,0.226131,0.0,0.777303,0.0,0.0,0.222697,0.0,0.0,0.0,0.0,0.750292,0.0,0.0,0.249708,0.0,0.0,0.0,0.0,0.0,0.763819,0.236181,0.775922,0.0,0.224078,0.0,0.0
2016-02-29,agg,0.588902,0.083713,0.0,0.327385,0.904523,0.0,0.095477,0.0,0.690791,0.0,0.0,0.0,0.0,0.0,0.309209,0.593402,0.069928,0.0,0.0,0.336669,0.0,0.717063,0.0,0.0,0.282937,0.909548,0.0,0.0,0.0,0.0,0.090452,0.0,0.913395,0.0,0.0,0.086605,0.0,0.0,0.0,0.0,0.900117,0.0,0.0,0.099883,0.0,0.0,0.0,0.0,0.0,0.909548,0.090452,0.911969,0.0,0.088031,0.0,0.0
